"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 00:30:33 GMT 2025","Sat Oct 18 00:30:33 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/tracks/TestPlaylistTrackServiceSuite","TestPlaylistTrackServiceSuite","TestPlaylistTrackServiceSuite","Test cases for TestPlaylistTrackServiceSuite"
"passed","Sat Oct 18 00:30:33 GMT 2025","Sat Oct 18 00:30:33 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/policy/TestPlaylistPolicyServiceSuite","TestPlaylistPolicyServiceSuite","TestPlaylistPolicyServiceSuite","Test cases for TestPlaylistPolicyServiceSuite"
"passed","Sat Oct 18 00:30:33 GMT 2025","Sat Oct 18 00:30:33 GMT 2025","5","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/meta/TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","Test cases for TestPlaylistMetaServiceSuite"
"passed","Sat Oct 18 00:30:32 GMT 2025","Sat Oct 18 00:30:32 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/genre/assign/TestGenreAssignServiceSuite","TestGenreAssignServiceSuite","TestGenreAssignServiceSuite","Test cases for TestGenreAssignServiceSuite"
"passed","Sat Oct 18 00:31:41 GMT 2025","Sat Oct 18 00:31:41 GMT 2025","0","","E2E","","github.com/hahaclassic/orpheon/backend/tests/e2e/TestSimpleE2E","TestSimpleE2E","TestSimpleE2E","Test cases for TestSimpleE2E"
"passed","Sat Oct 18 00:30:31 GMT 2025","Sat Oct 18 00:30:31 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/meta/TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","TestArtistMetaServiceSuite","Test cases for TestArtistMetaServiceSuite"
"passed","Sat Oct 18 00:30:35 GMT 2025","Sat Oct 18 00:30:35 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/user/TestUserServiceSuite","TestUserServiceSuite","TestUserServiceSuite","Test cases for TestUserServiceSuite"
"passed","Sat Oct 18 00:30:32 GMT 2025","Sat Oct 18 00:30:32 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/cover/TestPlaylistCoverServiceSuite","TestPlaylistCoverServiceSuite","TestPlaylistCoverServiceSuite","Test cases for TestPlaylistCoverServiceSuite"
"passed","Sat Oct 18 00:30:26 GMT 2025","Sat Oct 18 00:30:26 GMT 2025","6","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/auth/TestAuthServiceSuite","TestAuthServiceSuite","TestAuthServiceSuite","Test cases for TestAuthServiceSuite"
"passed","Sat Oct 18 00:30:28 GMT 2025","Sat Oct 18 00:30:28 GMT 2025","14","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/meta/TestMetaServiceSuite","TestMetaServiceSuite","TestMetaServiceSuite","Test cases for TestMetaServiceSuite"
"passed","Sat Oct 18 00:30:35 GMT 2025","Sat Oct 18 00:30:35 GMT 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/processor/TestListeningStatServiceSuite","TestListeningStatServiceSuite","TestListeningStatServiceSuite","Test cases for TestListeningStatServiceSuite"
"passed","Sat Oct 18 00:30:32 GMT 2025","Sat Oct 18 00:30:32 GMT 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/license/TestLicenseServiceSuite","TestLicenseServiceSuite","TestLicenseServiceSuite","Test cases for TestLicenseServiceSuite"
"passed","Sat Oct 18 00:30:34 GMT 2025","Sat Oct 18 00:30:34 GMT 2025","0","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/consumer/TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","Test cases for TestListeningEventConsumer_consumeListeningEvent"
