ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/auth	0.025s	coverage: 75.4% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/cover	0.021s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/meta	0.029s	coverage: 95.5% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/assign	0.031s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/avatar	0.018s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/artist/meta	0.026s	coverage: 95.2% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/genre	0.036s	coverage: 87.1% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/license	0.025s	coverage: 87.1% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/cover	0.041s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/deleter	0.028s	coverage: 95.2% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/favorites	0.018s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/meta	0.013s	coverage: 97.2% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/policy	0.017s	coverage: 88.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/tracks	0.015s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/search	0.010s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/audio	0.013s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/meta	0.016s	coverage: 95.8% of statements
?   	github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/segment	[no test files]
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/consumer	0.015s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/processor	0.008s	coverage: 97.2% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/publisher	0.007s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/domain/services/user	0.008s	coverage: 93.1% of statements
	github.com/hahaclassic/orpheon/backend/internal/adapters/event-bus/kafka		coverage: 0.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/adapters/password-hasher/bcrypt-hasher	0.210s	coverage: 100.0% of statements
ok  	github.com/hahaclassic/orpheon/backend/internal/adapters/tokens/jwt	2.506s	coverage: 66.7% of statements
