"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 23:56:06 UTC 2025","Fri Oct 17 23:56:06 UTC 2025","1","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/publisher/TestListeningEventPublisher_PublishListeningEvent","TestListeningEventPublisher_PublishListeningEvent","TestListeningEventPublisher_PublishListeningEvent","Test cases for TestListeningEventPublisher_PublishListeningEvent"
"passed","Fri Oct 17 23:55:57 UTC 2025","Fri Oct 17 23:55:57 UTC 2025","14","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/auth/TestAuthServiceSuite","TestAuthServiceSuite","TestAuthServiceSuite","Test cases for TestAuthServiceSuite"
"passed","Fri Oct 17 23:57:09 UTC 2025","Fri Oct 17 23:57:09 UTC 2025","0","","E2E","","github.com/hahaclassic/orpheon/backend/tests/e2e/TestSimpleE2E","TestSimpleE2E","TestSimpleE2E","Test cases for TestSimpleE2E"
"passed","Fri Oct 17 23:56:04 UTC 2025","Fri Oct 17 23:56:04 UTC 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/privacy/TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","TestPlaylistPrivacyChangerSuite","Test cases for TestPlaylistPrivacyChangerSuite"
"passed","Fri Oct 17 23:56:03 UTC 2025","Fri Oct 17 23:56:03 UTC 2025","5","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/aggregator/TestPlaylistAggregatorSuite","TestPlaylistAggregatorSuite","TestPlaylistAggregatorSuite","Test cases for TestPlaylistAggregatorSuite"
"passed","Fri Oct 17 23:56:05 UTC 2025","Fri Oct 17 23:56:05 UTC 2025","2","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/track/meta/TestTrackMetaServiceSuite","TestTrackMetaServiceSuite","TestTrackMetaServiceSuite","Test cases for TestTrackMetaServiceSuite"
"passed","Fri Oct 17 23:56:04 UTC 2025","Fri Oct 17 23:56:04 UTC 2025","4","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/playlist/meta/TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","TestPlaylistMetaServiceSuite","Test cases for TestPlaylistMetaServiceSuite"
"passed","Fri Oct 17 23:56:06 UTC 2025","Fri Oct 17 23:56:06 UTC 2025","0","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/stat/consumer/TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","TestListeningEventConsumer_consumeListeningEvent","Test cases for TestListeningEventConsumer_consumeListeningEvent"
"passed","Fri Oct 17 23:56:03 UTC 2025","Fri Oct 17 23:56:03 UTC 2025","3","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/license/TestLicenseServiceSuite","TestLicenseServiceSuite","TestLicenseServiceSuite","Test cases for TestLicenseServiceSuite"
"passed","Fri Oct 17 23:55:59 UTC 2025","Fri Oct 17 23:55:59 UTC 2025","4","","Unit","","github.com/hahaclassic/orpheon/backend/internal/domain/services/content/album/cover/TestCoverServiceSuite","TestCoverServiceSuite","TestCoverServiceSuite","Test cases for TestCoverServiceSuite"
